id,en,pl,fr,ru,de,ita,es,fi,ms
STAT_SURNAME,Surname,Nazwisko,Nom de famille,Фамилия,Nachname,Cognome,Apellido,Sukunimi,Nama Keluarga
STAT_NICKNAME,Nickname,Przezwisko,Surnom,Прозвище,Spitzname,Soprannome,Apodo,Lempinimi,Nama Timangan
STAT_GENDER,Gender,Płeć,Sexe,Пол,Geschlecht,Sesso,Sexo,Sukupuoli,Jantina
STAT_AGE,Age,Wiek,Âge,Возраст,Alter,Et??,Edad,Ikä,Umur
STAT_BLOODTYPE,Bloodtype,Grupa krwi,Groupe sanguin,Группа крови,Blutgruppe,Gruppo sanguigno,Tipo de sangre,Veriryhmä,Jenis Darah
STAT_DOB,Date of Birth,Data urodzenia,Date de naissance,Дата рождения,Geburtsdatum,Data di nascita,Fecha de nacimiento,Syntymäpäivä,Tarikh Lahir
STAT_STRESS,Stress,Stres,Stress,Напряжённость,Stress,Stato Mentale,Estrés,Stressi,Tekanan
STAT_CREATIVITY,Creativity,Kreatywność,Créativité,Креативность,Kreativität,Creativit??,Creatividad,Luovuus,Daya Cipta
STAT_INTELLIGENCE,Intelligence,Inteligencja,Intelligence,Интеллект,Intelligenz,Intelligenza,Inteligencia,Älykkyys,Kepintaran
STAT_FITNESS,Fitness,Kondycja,Fitness,Спортивность,Gesundheit,Forma fisica,Forma física,Kunto,Kecergasan
STAT_CHARM,Charm,Wdzięk,Charme,Обаяние,Charme,Fascino,Encanto,Viehätysvoima,Daya Tarikan
STAT_SENSITIVITY,Sensitivity,Wrażliwość,Sensibilité,Чувствительность,Sensibilität,Sensibilit??,Sensibilidad,Herkkyys,Kepekaan
STAT_MONEY,Money,Pieniądze,Argent,Деньги,Geld,Soldi,Dinero,Raha,Wang
STAT_STAMINA,Stamina,Wytrzymałość,Endurance,Выносливость,Ausdauer,Resistenza fisica,Resistencia,Kestävyys,Daya Tahan
STAT_LUCK,Luck,Szczęście,Chance,Удача,Glück,Fortuna,Suerte,Onni,Tuah
,,,,,,,,
BLOODTYPE_A,A,A,A,A,A,A,A,A,A
BLOODTYPE_B,B,B,B,B,B,B,B,B,B
BLOODTYPE_AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
BLOODTYPE_O,O,O,O,O,O,O,O,O,O
,,,,,,,,
STAT_FIRST_NAME,First Name,First Name,First Name,First Name,First Name,First Name,First Name,First Name,First Name
STAT_LAST_NAME,Last Name,Last Name,Last Name,Last Name,Last Name,Last Name,Last Name,Last Name,Last Name
STAT_SURNAME,Surname,Surname,Surname,Surname,Surname,Surname,Surname,Surname,Surname
STAT_NICKNAME,Nickname,Nickname,Nickname,Nickname,Nickname,Nickname,Nickname,Nickname,Nickname
STAT_GENDER,Gender,Gender,Gender,Gender,Gender,Gender,Gender,Gender,Gender
STAT_AGE,Age,Age,Age,Age,Age,Age,Age,Age,Age
STAT_BLOODTYPE,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Bloodtype,Bloodtype
STAT_DOB,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Date of Birth,Date of Birth
,,,,,,,,
GENDER_MALE,Male,Mężczyzna,Masculin,Мужчина,Männlich,Maschio,Macho,Mies,Lelaki
GENDER_FEMALE,Female,Kobieta,Féminin,Женщина,Weiblich,Femmina,Hembra,Nainen,Perempuan
,,,,,,,,
PHONE_PROVIDER_BNET,bNet,bNet,bNet,bNet,bNet,bNet,bNet,bNet,bNet
PHONE_APP_SETTINGS,Settings,Ustawienia,Paramètres,Настройки,Einstellungen,Impostazioni,Configuración,Asetukset,Aturan
PHONE_APP_PHONE,Phone,Telefon,Téléphone,Телефон,Handy,Telefono,Teléfono,Puhelin,Telefon
PHONE_APP_CONTACTS,Contacts,Kontakty,Contacts,Контакты,Kontakte,Contatti,Contactos,Yhteystiedot,Kenalan
PHONE_APP_CAMERA,Camera,Aparat,Camera,Камера,Kamera,Fotocamera,Cámara,Kamera,Kamera
PHONE_APP_CALENDER,Calender,Kalendarz,Calendrier,Календарь,Kalender,Calendario,Calendario,Kalenteri,Kalendar
PHONE_APP_CLOCK,Clock,Zegar,Horloge,Часы,Uhr,Orologio,Reloj,Kello,Jam
PHONE_APP_DOWNLOAD,Download,Pobrane,Téléchargements,Загрузки,Download,Download,descargas,Lataa,Muat Turun
PHONE_APP_GALLERY,Gallery,Galeria,Galerie,Галерея,Gallerie,Galleria,Galería,Galleria,Himpunan Gambar
PHONE_APP_MAP,Map,Mapa,Carte,Карта,Karte,Mappa,Mapa,Kartta,Peta
PHONE_APP_MUSIC,Music,Muzyka,Musique,Музыка,Musik,Musica,Música,Musiikki,Muzik
PHONE_APP_SMS,SMS,Wiadomości,SMS,СМС,SMS,SMS,SMS,Tekstiviesti,Pesanan Ringkas
PHONE_APP_EMAIL,Email,Poczta,Email,Почта,Email,Email,Email,Sähköposti,Surat Elektronik
PHONE_APP_INFO,Info,Informacje,Info,Информация,Info,Informazioni,Información,Tietoa,Maklumat
PHONE_APP_INVENTORY,Inventory,Ekwipunek,Inventaire,Инвентарь,Inventar,Inventario,inventario,Tavaraluettelo,Barangan
PHONE_APP_INTERNET,Internet,Internet,Internet,Интернет,Internet,Internet,Internet,Internet,Internet
PHONE_APP_UNIMPLEMENTED,Not Yet Implemented...,Niezaimplementowane...,Pas encore implémenté...,Пока не реализовано…,Noch nicht Verfügbar,Non ancora implementato...,Aún no implementado...,Ei vielä lisätty...,Masih belum tersedia...
,,,,,,,,
INFO_PROOF_OF_CONCEPT_PREVIEW,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Proof of Concept Preview,Pratonton bukti konsep
,,,,,,,,
TEST_CHARACTER_FOLLOW,"Okay, let's go...","Okay, let's go...","Okay, Allons-y...","Okay, let's go...","Okay, let's go...","Okay, let's go...","Okay, vámonos...","Okei, mennään...","Mari bergerak..."
TEST_CHARACTER_WAIT,"Sure, I'll wait here.","Sure, I'll wait here.","Bien sur, j'attendrais ici.","Sure, I'll wait here.","Sure, I'll wait here.","Sure, I'll wait here.","Seguro, te esperaré aquí.","Selvä, odotan täällä.","Saya tunggu di sini, ya."
